czas,parametr_l1,wartosc_rzeczywista_l1 = 2.0, metoda optymalizacji L-BFGS-B
Czas symulacji oraz wartosci optymalizowanych parametrow w kazdej iteracji
0.5,8.09395124789352
1.0,8.09395124789352
1.5,8.093953145119691
2.0,8.093953145119691
2.5,8.093949810367336
3.0,8.093961498022004
3.5,8.093954797670103
4.0,8.093954797670103
4.5,8.093958478681364
5.0,8.093958478681364
5.5,8.0939642559789
6.0,8.09394104092247
6.5,8.093933098557656
7.0,8.093937619854339
7.5,8.093937619854339
8.0,8.093937619854339
8.5,8.093938247346987
9.0,8.093935714656222
9.5,8.093938963631503
10.0,8.093939632875184
